"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"VPS26AP1",0.0246630745255174,0,6.00582268812407,0,1,1
"VPS26B",1056.00412829132,0.0103498402704597,0.0886430269636819,0.11675865124394,0.907051311092228,1
"VPS26BP1",0.0283024014601377,0,6.00582268848886,0,1,1
"VPS28",371.30270364252,0.0318150422672474,0.190489871822913,0.167016975563005,0.867356691965139,1
"VPS29",1352.98731058939,-0.0443745455451027,0.245603252561384,-0.180675724292422,0.856622114381499,1
"VPS33A",542.584004513569,0.0156139858660968,0.160260642860997,0.0974286985709878,0.922385954972503,1
"VPS33B",414.485555102759,0.0394606301689893,0.0967637197040528,0.407803981592251,0.68341759024077,1
"VPS35",3986.11110175306,-0.09323692034533,0.164431303233557,-0.567026585034705,0.570696119709928,1
"VPS35P1",1.11381507618993,-0.119858175254618,1.4794317154023,-0.0810163618954358,0.93542894036743,1
"VPS36",717.053776022855,0.107180265700397,0.116757005732771,0.917977170001318,0.358630818264804,1
"VPS37A",408.796338158406,-0.0235904478595925,0.124168643240538,-0.18998715975251,0.849319192313958,1
"VPS37B",849.979930227784,-0.0877326851963696,0.109834564310112,-0.798771185987147,0.424423101124723,1
"VPS37C",314.416179331949,0.0765611445471171,0.116720854127779,0.655933724262357,0.511866768206147,1
"VPS37D",0.796889464306505,0.264464034070792,1.64469152981898,0.16079856269455,0.872252057309377,1
"VPS39",1195.26727013541,0.0406476235766243,0.129065988938071,0.314936753757242,0.752809675029116,1
"VPS41",956.722445745697,-0.0316773164992513,0.128783584353321,-0.245973247742071,0.805702941593334,1
"VPS45",676.464053410764,0.152050495390101,0.250438650915542,0.607136697287905,0.543760198153102,1
"VPS4A",1513.04032131664,-0.0173766739249214,0.111427343699683,-0.155946227810606,0.876075406506235,1
"VPS4B",2712.72835251945,-0.0314718178164387,0.10353287070121,-0.303978993369792,0.761143895209009,1
"VPS50",399.357709101622,-0.0619618568973453,0.141088826963048,-0.439169126507613,0.660538993814307,1
"VPS51",881.716201098194,-0.0886308591087517,0.165410111070461,-0.535824917444117,0.592079559479153,1
"VPS52",932.495100954392,0.00846855876975885,0.0899283685005875,0.0941700479054451,0.924974077325142,1
"VPS53",735.555859263687,-0.00320695058248113,0.165002601454128,-0.0194357577045396,0.984493485267094,1
"VPS54",387.01205969808,-0.0792676795952365,0.14642150160748,-0.541366388986596,0.588255069241997,1
"VPS72",874.319972852476,0.0466985016162275,0.130568559888243,0.35765502549923,0.72060149403016,1
"VPS8",654.277198607276,-0.0641121180557567,0.198471249985169,-0.323029748946245,0.746672712395146,1
"VPS9D1",269.115306871764,-0.0789007964006636,0.164964367162826,-0.478289934715328,0.63244385929733,1
"VPS9D1-AS1",470.594447481244,0.0479383838503686,0.292753111631101,0.163750211170346,0.869927788206621,1
"VRK1",861.163734358338,0.120655732414622,0.216774655251062,0.556595199170687,0.577804034613552,1
"VRK2",645.404455144522,-0.0414780537556213,0.114443083340644,-0.362433906400095,0.717027805699371,1
"VRK3",432.344112845895,-0.111138309786026,0.136461075438646,-0.814432316532597,0.41539733161114,1
"VRTN",0.10949080916834,-0.883474797902787,5.96355410892375,-0.148145683222824,0.88222779718493,1
"VSIG1",6.55309654017656,-0.559521785767073,0.816109515093066,-0.685596449274663,0.492967621231132,1
"VSIG10",766.304959879201,0.00135200630530121,0.122259571924359,0.0110584904234548,0.991176781057922,1
"VSIG10L",23.504458125942,0.337738610405101,0.434285068680809,0.77768874585309,0.436752528411451,1
"VSIG2",4.33492339973198,2.07543538142982,0.977944749076412,2.12224196038672,0.0338174245785991,1
"VSIG4",0.00132282099765004,0,5.95511361300379,0,1,1
"VSIG8",0.288039733255788,0.206881134163507,4.96691908319474,0.0416518027973268,0.966776276384432,1
"VSNL1",2042.41570988208,-0.041417582556662,0.205248904327789,-0.201791978828383,0.840079352526797,1
"VSTM1",0.0681492579420507,0.573325228666613,5.98502100659835,0.0957933527776318,0.92368469679662,1
"VSTM2A",0.191547264746451,1.05789779565336,5.4541403310803,0.193962335296904,0.846205373863614,1
"VSTM2B",0.00353991506788234,0,5.99462923169634,0,1,1
"VSTM2L",0.668703524055948,0.749727391526173,2.16680223054055,0.346006377951318,0.729337921545963,1
"VSTM4",0.0382401294391519,0,6.00582268795973,0,1,1
"VSTM5",4.47192517482966,0.66828200073456,0.781941112370259,0.854644921672977,0.392747750722311,1
"VSX1",0.00251998951545248,0,6.00582268831367,0,1,1
"VSX2",0.120003902566008,-0.482809230176105,5.91144813273395,-0.0816735966103815,0.934906275048366,1
"VTA1",1248.13750035356,-0.0545336061377955,0.245222804510112,-0.222383910202555,0.824015036047437,1
"VTA1P1",0.0209427735291062,0.0215388458896711,5.99073078117465,0.00359536201448997,0.997131322338531,1
"VTCN1",88.8125739711633,-0.0275216403768391,0.451527405437892,-0.0609523144008249,0.95139718599396,1
"VTI1A",657.647254413371,0.1445839646867,0.228326526666049,0.633233320709025,0.52658128937018,1
"VTI1B",1019.3645834153,-0.0248109694882662,0.151775880914992,-0.163471095266859,0.870147529637626,1
"VTI1BP1",0.0267089320321006,0,6.00582268796621,0,1,1
"VTI1BP2",0.0711591804570183,-0.146787036510099,5.98086541560089,-0.0245427753861857,0.980419664155288,1
"VTI1BP4",0.0664656355652533,0.069367482748735,5.99010797311046,0.0115803392960736,0.990760432578155,1
"VTN",0.288486913499993,-0.188138166431668,3.47792921675815,-0.0540948808058365,0.956859570802799,1
"VWA1",93.2464587057484,0.0915302153042349,0.238576765150729,0.383651003258459,0.701237132269567,1
"VWA2",113.828372089444,-0.171285244270289,0.204731048511474,-0.836635407846749,0.402797536485939,1
"VWA3A",0.155425438744469,-0.137775653103996,5.98305832170409,-0.0230276299671361,0.981628233263147,1
"VWA3B",0.0231463989348989,0,5.96775224186415,0,1,1
"VWA5A",3.28644428078576,-0.135599039025838,1.03970883282299,-0.130420204912237,0.896233981906823,1
"VWA5B1",0.615578717806691,0.0100317263931879,1.95745054415255,0.00512489392038818,0.995910944164704,1
"VWA5B2",131.637683614618,0.15344629502705,0.197031603899889,0.778790265063345,0.436103273205013,1
"VWA7",37.9668254623725,-0.32953037635758,0.282533922678511,-1.16633915401566,0.243477348678138,1
"VWA8",1023.05247089373,0.0825019616241017,0.195799369940292,0.421359688998286,0.67349245029152,1
"VWA8-AS1",2.74356209368303,0.496012117330453,1.04830430098084,0.473156617659933,0.636101445893087,1
"VWA9",1307.37582706999,0.0450705505166394,0.145510714513053,0.309740424734126,0.756758359010223,1
"VWC2L-IT1",0.0228536682686078,0,5.98264428101666,0,1,1
"VWCE",0.462217510438401,-1.5284464345431,2.52488779297762,-0.605352221510244,0.54494498997482,1
"VWDE",29.3184981983312,0.0883630966369481,0.31070095544306,0.284399178982061,0.776104488112751,1
"VWF",104.78565241925,0.107813047845063,0.352847821259868,0.30555112246438,0.759946440179984,1
"VWFP1",0.969029283402439,0.167846921446353,1.68995631303458,0.099320272454237,0.920883982906943,1
"WAC",2220.73124011528,0.0207358711956285,0.0961165228107022,0.215736801428689,0.829192913241775,1
